,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,MaxFeretDiameter,MaxFeretAngle,MinFeretDiameter,MinFeretAngle,Area,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,Sex
116,988.870805,734.4304683,0.669628655,0.693449029,0.685213825,992.3149702,178.5563595,740.5002043,-91.46880071,570098,573200,851.98082,0.99458828,0.77556756,3230.312,1
117,1017.24946,756.992604,0.66800553,1.73817876,0.92779529,1022.82208,177.702673,760,-90,604508,605835,877.316072,0.99780963,0.77828304,2858.267,0
119,944.8115554,734.2382401,0.629344236,2.597185292,0.718317934,949.8426185,177.5864327,739.5843387,85.60129465,544197,546297,832.402031,0.99615594,0.77387661,3082.352,1
120,1008.24727,732.952567,0.68668282,1.04685888,0.86700667,1009.14221,177.273689,733,-90,580115,581640,859.433161,0.9973781,0.78514449,2896.543,0
121,932.6458974,737.6081864,0.611975143,0.118334245,0.650880618,937.1200563,176.1452553,744,-90,540165,543477,829.31263,0.99390591,0.77567118,3226.226,1
122,961.7573413,741.9104356,0.636336922,0.289510587,0.704314784,967.5975403,177.9862933,748,-90,560052,562918,844.440853,0.99490867,0.77428399,3157.94,1
123,971.1465856,738.9086081,0.648913631,0.229196788,0.609450949,972.3749277,178.4088597,742.7746738,89.02897807,563532,566954,847.060344,0.99396424,0.78030341,3405.606,1
124,966.222264,763.909654,0.6123138,-0.1355274,0.72221575,971.630588,177.935649,771,-90,579521,582166,858.993047,0.99545662,0.77409733,3172.314,0
125,1015.859917,745.2140735,0.67960358,1.471670143,0.877222924,1018.672175,-177.9184567,751.157648,-94.08561678,593733,595360,869.462095,0.9972672,0.77557816,2913.248,1
126,1007.833384,739.2236572,0.679713146,-0.031377443,0.756927172,1013.789426,177.738755,748,-90,584566,587137,862.723912,0.99562112,0.77147616,3112.121,1
128,1003.974081,736.5109057,0.679586336,0.926178052,0.752206349,1009.33493,178.523924,743.6811111,-92.72631099,580236,582797,859.522786,0.99560567,0.77293072,3110.286,1
129,1009.360113,743.8751107,0.675917905,1.360227838,0.586584104,1014.233208,177.1742686,748,-90,589429,593430,866.304976,0.99325784,0.77789406,3550.352,1
131,1084.91738,758.942892,0.71459364,-0.2784139,0.6230531,1090.88771,-177.6884,767.989636,88.8766973,645825,649456,906.802034,0.99440917,0.77148438,3605.966,0
133,965.033175,718.969949,0.66704105,2.78817503,0.79970208,965.683696,176.616119,723,-90,544729,546969,832.808804,0.9959047,0.7807552,2922.567,0
136,969.62846,728.905397,0.65946325,1.52840508,0.72169823,970.296862,178.582662,729,-90,554845,557399,840.506154,0.995418,0.78464356,3105.087,0
137,960.7195856,771.3437921,0.596138922,-0.831634908,0.678079652,967.4347523,-178.282234,778,-90,581656,584818,860.57389,0.99459319,0.77314356,3280.061,1
138,969.008012,738.535181,0.64739352,0.27703266,0.69609167,973.665754,-177.88108,743.951985,87.6626941,561847,564714,845.793012,0.99492309,0.7761261,3181.648,0
139,1002.19053,742.316559,0.67184249,0.43950349,0.69377118,1005.68086,177.891555,745.658377,92.9609361,583842,586642,862.189493,0.99522707,0.77769386,3248.813,0
140,936.31496,755.098757,0.59129128,1.64738667,0.75030149,941.382494,176.894444,759,-90,555168,557173,840.750767,0.99640148,0.77813472,3046.152,0
141,979.678144,772.8133779,0.614593279,-1.553056431,0.664927761,982.8143263,-177.6674492,777.5336836,92.38594403,594402,597700,869.951799,0.99448218,0.77801716,3348.502,1
142,982.9848863,742.5856169,0.655218401,-0.312658971,0.78612658,986.6939748,177.8509639,747,-90,572718,574489,853.936301,0.99691726,0.77757684,3022.581,1
